iter	Passed	Remaining
615	1706	1063
616	1708	1060
617	1710	1057
618	1712	1053
619	1716	1051
620	1719	1049
621	1721	1046
622	1724	1043
623	1727	1040
624	1733	1039
625	1736	1037
626	1738	1034
627	1740	1031
628	1742	1027
629	1744	1024
630	1747	1022
631	1750	1019
632	1753	1016
633	1755	1013
634	1756	1009
635	1759	1007
636	1762	1004
637	1765	1001
638	1767	998
639	1768	995
640	1770	991
641	1772	988
642	1776	986
643	1779	983
644	1781	980
645	1782	977
646	1784	973
647	1786	970
648	1788	967
649	1793	965
650	1795	962
651	1797	959
652	1799	956
653	1801	953
654	1803	950
655	1806	947
656	1808	944
657	1811	941
658	1812	938
659	1814	934
660	1817	931
661	1821	929
662	1823	927
663	1825	923
664	1827	920
665	1829	917
666	1831	914
667	1834	911
668	1837	909
669	1839	905
670	1841	902
671	1843	899
672	1845	896
673	1847	893
674	1850	891
675	1852	888
676	1854	884
677	1856	881
678	1858	878
679	1860	875
680	1862	872
681	1865	869
682	1867	866
683	1869	863
684	1871	860
685	1873	857
686	1875	854
687	1878	851
688	1880	849
689	1882	845
690	1885	842
691	1887	839
692	1888	836
693	1890	833
694	1894	831
695	1896	828
696	1898	825
697	1900	822
698	1902	819
699	1904	816
700	1906	813
701	1909	810
702	1912	807
703	1914	804
704	1915	801
705	1917	798
706	1919	795
707	1924	793
708	1926	790
709	1928	787
710	1930	784
711	1932	781
712	1934	778
713	1936	775
714	1939	773
715	1941	770
716	1943	767
717	1945	764
718	1947	761
719	1949	758
720	1953	755
721	1955	752
722	1957	749
723	1959	746
724	1961	743
725	1963	740
726	1965	738
727	1968	735
728	1970	732
729	1972	729
730	1974	726
731	1976	723
732	1978	720
733	1981	718
734	1984	715
735	1986	712
736	1988	709
737	1990	706
738	1991	703
739	1993	700
740	1997	698
741	1999	695
742	2001	692
743	2003	689
744	2005	686
745	2007	683
746	2011	681
747	2013	678
748	2015	675
749	2017	672
750	2019	669
751	2021	666
752	2023	663
753	2027	661
754	2029	658
755	2031	655
756	2033	652
757	2035	649
758	2037	646
759	2041	644
760	2043	641
761	2045	638
762	2046	635
763	2048	632
764	2050	629
765	2052	627
766	2056	624
767	2058	621
768	2060	618
769	2062	615
770	2064	613
771	2066	610
772	2069	607
773	2071	604
774	2073	602
775	2075	599
776	2077	596
777	2079	593
778	2082	590
779	2085	588
780	2087	585
781	2089	582
782	2091	579
783	2093	576
784	2095	573
785	2098	571
786	2100	568
787	2102	565
788	2104	562
789	2106	560
790	2108	557
791	2110	554
792	2115	552
793	2117	549
794	2119	546
795	2121	543
796	2123	540
797	2125	537
798	2128	535
799	2130	532
800	2132	529
801	2134	527
802	2136	524
803	2138	521
804	2141	518
805	2144	516
806	2146	513
807	2148	510
808	2150	507
809	2152	504
810	2154	502
811	2158	499
812	2160	496
813	2162	494
814	2164	491
815	2166	488
816	2168	485
817	2170	483
818	2173	480
819	2176	477
820	2177	474
821	2180	472
822	2181	469
823	2183	466
824	2187	464
825	2189	461
826	2191	458
827	2193	455
828	2195	452
829	2197	450
830	2199	447
831	2203	444
832	2205	442
833	2207	439
834	2209	436
835	2211	433
836	2213	431
837	2218	428
838	2220	426
839	2222	423
840	2224	420
841	2226	417
842	2229	415
843	2232	412
844	2234	409
845	2236	407
846	2238	404
847	2240	401
848	2242	398
849	2245	396
850	2248	393
851	2250	390
852	2251	388
853	2253	385
854	2255	382
855	2257	379
856	2261	377
857	2263	374
858	2265	371
859	2267	369
860	2269	366
861	2271	363
862	2274	361
863	2276	358
864	2278	355
865	2280	352
866	2282	350
867	2284	347
868	2286	344
869	2290	342
870	2292	339
871	2294	336
872	2296	334
873	2298	331
874	2300	328
875	2302	325
876	2305	323
877	2308	320
878	2310	317
879	2312	315
880	2314	312
881	2315	309
882	2319	307
883	2321	304
884	2323	301
885	2325	299
886	2327	296
887	2329	293
888	2331	291
889	2334	288
890	2336	285
891	2339	283
892	2340	280
893	2342	277
894	2344	275
895	2348	272
896	2350	269
897	2352	267
898	2354	264
899	2356	261
900	2358	259
901	2360	256
902	2363	253
903	2365	251
904	2367	248
905	2369	245
906	2371	243
907	2373	240
908	2377	237
909	2379	235
910	2381	232
911	2383	229
912	2385	227
913	2387	224
914	2389	221
915	2393	219
916	2396	216
917	2398	214
918	2399	211
919	2401	208
920	2403	206
921	2407	203
922	2409	201
923	2411	198
924	2413	195
925	2415	193
926	2417	190
927	2419	187
928	2422	185
929	2425	182
930	2427	179
931	2429	177
932	2431	174
933	2433	171
934	2436	169
935	2439	166
936	2441	164
937	2443	161
938	2445	158
939	2447	156
940	2451	153
941	2453	151
942	2455	148
943	2457	145
944	2459	143
945	2461	140
946	2464	137
947	2467	135
948	2472	132
949	2474	130
950	2477	127
951	2482	125
952	2485	122
953	2487	119
954	2489	117
955	2491	114
956	2495	112
957	2500	109
958	2503	107
959	2505	104
960	2507	101
961	2511	99
962	2515	96
963	2518	94
964	2520	91
965	2522	88
966	2526	86
967	2530	83
968	2532	81
969	2534	78
970	2537	75
971	2541	73
972	2544	70
973	2546	67
974	2548	65
975	2550	62
976	2556	60
977	2559	57
978	2561	54
979	2563	52
980	2565	49
981	2571	47
982	2574	44
983	2576	41
984	2578	39
985	2580	36
986	2583	34
987	2586	31
988	2589	28
989	2591	26
990	2593	23
991	2596	20
992	2600	18
993	2603	15
994	2605	13
995	2607	10
996	2609	7
997	2612	5
998	2614	2
999	2617	0
